"利用日","利用者","利用区分","利用内容","新規利用額","今回請求額","支払回数","現地通貨額","通貨","為替相場","備考""2016/3/1","V5006","１回払い","カーシェアリング・ジャパン　株","1,520","1,520","","","","",""
"2016/3/28","V5006","１回払い","ＡＭＡＺＯＮ．ＣＯ．ＪＰ","1,058","1,058","","","","",""
"2016/3/29","V5006","１回払い","損害保険ジャパン日本興亜","2,580","2,580","","","","",""
"2016/3/29","V5006","１回払い","SAGRADA FAMILIA WEB          BARCELONA","6,609","6,609","","51","EUR","129.589",""
"2016/3/29","V5006","１回払い","FUNDACIO CATALUNYA L         BARCELONA","6,997","6,997","","54","EUR","129.574",""
"2016/3/29","V5006","１回払い","ダイナック","1,400","1,400","","","","",""
"2016/3/30","V5006","１回払い","TMB SL                       BARCELONA","6,082","6,082","","46.8","EUR","129.958",""
"2016/3/30","V5006","１回払い","森ビル関連施設","1,000","1,000","","","","",""
"2016/4/1","V5006","１回払い","METRO BARCELONA              BARCELONA","1,297","1,297","","9.95","EUR","130.352",""
"2016/4/1","V5006","１回払い","METRO BARCELONA              BARCELONA","1,297","1,297","","9.95","EUR","130.352",""
"2016/4/1","V5006","１回払い","デイエムエムドツトコム","1,967","1,967","","","","",""
"2016/4/1","V5006","１回払い","デイエムエムドツトコム","2,842","2,842","","","","",""
"2016/4/2","V5006","１回払い","PFR0146 FCB FRESH            BARCELONA","684","684","","5.25","EUR","130.286",""
"2016/4/2","V5006","１回払い","CACAO SAMPAKA SL             BARCELONA","6,276","6,276","","48.15","EUR","130.343",""
"2016/4/2","V5006","１回払い","F.C.B. MERCHANDISING         BARCELONA","3,807","3,807","","29.2","EUR","130.377",""
"2016/4/3","V5006","１回払い","BOTIGA                       BARCELONA","782","782","","6","EUR","130.334",""
"2016/4/3","V5006","１回払い","PARK GUELL                   BARCELONA","1,551","1,551","","11.9","EUR","130.337",""
"2016/4/3","V5006","１回払い","BOTIGA                       BARCELONA","4,105","4,105","","31.5","EUR","130.318",""
"2016/4/3","V5006","１回払い","CASA BATLLO S.L.             BARCELONA","8,602","8,602","","66","EUR","130.334",""
"2016/4/3","V5006","１回払い","RESTAURANTE LOIDI            BARCELONA","10,102","10,102","","77.5","EUR","130.349",""
"2016/4/4","V5006","１回払い","ECI                          BARCELONA","1,140","1,140","","1,140","JPY","1",""
"2016/4/4","V5006","１回払い","SUPERMERCAT BON PREU         BARCELONA","1,888","1,888","","14.58","EUR","129.493",""
"2016/4/4","V5006","１回払い","ECI                          BARCELONA","5,133","5,133","","5,133","JPY","1",""
"2016/4/5","V5006","１回払い","AEROPUERTO BARCELONA         EL PRAT DE LL","3,290","3,290","","25.5","EUR","129.02",""
"2016/4/6","V5006","１回払い","羽田国際線直営店","890","890","","","","",""
"2016/4/6","V5006","１回払い","羽田国際線　ショップ＆レストラ","1,230","1,230","","","","",""
"2016/4/6","V5006","１回払い","福島屋　六本木店","1,095","1,095","","","","",""
"2016/4/6","V5006","１回払い","東京ガス","7,563","7,563","","","","",""
"2016/4/7","V5006","１回払い","福島屋　六本木店","396","396","","","","",""
"2016/4/7","V5006","１回払い","いづ味","880","880","","","","",""
"2016/4/7","V5006","１回払い","東京電力　１６／０４利用分","19,393","19,393","","","","",""
"2016/4/8","V5006","１回払い","森ビル関連施設","1,280","1,280","","","","",""
"2016/4/8","V5006","１回払い","福島屋　六本木店","1,058","1,058","","","","",""
"2016/4/8","V5006","１回払い","ＡＭＡＺＯＮ．ＣＯ．ＪＰ","1,543","1,543","","","","",""
"2016/4/9","V5006","１回払い","ＪＲ東日本モバイルＳｕｉｃａ","9,000","9,000","","","","","内ポイント対象額　9,000円　ポイント0倍"
"2016/4/9","V5006","１回払い","ＪＲ東日本モバイルＳｕｉｃａ","10,000","10,000","","","","","内ポイント対象額　10,000円　ポイント0倍"
"2016/4/9","V5006","１回払い","福島屋　六本木店","313","313","","","","",""
"2016/4/10","V5006","１回払い","ＡＭＡＺＯＮ．ＣＯ．ＪＰ","2,703","2,703","","","","",""
"2016/4/11","V5006","１回払い","プリペイド購入・チャージ（三井","3,000","3,000","","","","",""
"2016/4/12","V5006","１回払い","福島屋　六本木店","313","313","","","","",""
"2016/4/12","V5006","１回払い","福島屋　六本木店","1,048","1,048","","","","",""
"2016/4/13","V5006","１回払い","森ビル関連施設","1,000","1,000","","","","",""
"2016/4/13","V5006","１回払い","福島屋　六本木店","390","390","","","","",""
"2016/4/13","V5006","１回払い","ＡＭＡＺＯＮ．ＣＯ．ＪＰ","2,216","2,216","","","","",""
"2016/4/13","V5006","１回払い","SAGRADA FAMILIA WEB          BARCELONA","-1,751","-1,751","","-14","EUR","125.072",""
